,Street_One,Street_Two,Street,lon,lat
0,MISSION ST,ITALY AVE,"ITALY AVE & MISSION ST,San Fransisco, CA, USA",-122.43953,37.71847
1,MISSION ST,NEW MONTGOMERY ST,"NEW MONTGOMERY ST & MISSION ST,San Fransisco, CA, USA",-122.4005,37.78745
2,MISSION ST,1ST ST,"1ST ST & MISSION ST,San Fransisco, CA, USA",-122.39305,37.79336
3,MISSION ST,20TH ST,"20TH ST & MISSION ST,San Fransisco, CA, USA",-122.41904,37.75863
4,MISSION ST,FREMONT ST,"FREMONT ST & MISSION ST,San Fransisco, CA, USA",-122.39669,37.79047
5,MISSION ST,13TH ST,"13TH ST & MISSION ST,San Fransisco, CA, USA",-122.41998,37.76998
6,MISSION ST,ERIE ST,"ERIE ST & MISSION ST,San Fransisco, CA, USA",-122.42004,37.76907
7,MISSION ST,BEALE ST,"BEALE ST & MISSION ST,San Fransisco, CA, USA",-122.39584,37.79116
8,MISSION ST,FAIR AVE,"FAIR AVE & MISSION ST,San Fransisco, CA, USA",-122.41987,37.74559
9,MISSION ST,SAINT MARYS AVE,"SAINT MARYS AVE & MISSION ST,San Fransisco, CA, USA",-122.42612,37.73395
10,MISSION ST,SENECA AVE,"SENECA AVE & MISSION ST,San Fransisco, CA, USA",-122.44013,37.71766
11,MISSION ST,ANTHONY ST,"ANTHONY ST & MISSION ST,San Fransisco, CA, USA",-122.39933,37.78838
12,MISSION ST,JESSIE EAST ST,"JESSIE EAST ST & MISSION ST,San Fransisco, CA, USA",-122.40483,37.78405
13,MISSION ST,SILVER AVE,"SILVER AVE & MISSION ST,San Fransisco, CA, USA",-122.43128,37.72874
14,MISSION ST,MOUNT VERNON AVE,"MOUNT VERNON AVE & MISSION ST,San Fransisco, CA, USA",-122.44265,37.71461
15,MISSION ST,30TH ST,"30TH ST & MISSION ST,San Fransisco, CA, USA",-122.39334,37.79313
16,MISSION ST,MAIN ST,"MAIN ST & MISSION ST,San Fransisco, CA, USA",-122.39497,37.79186
17,MISSION ST,TRUMBULL ST,"TRUMBULL ST & MISSION ST,San Fransisco, CA, USA",-122.42925,37.73078
18,MISSION ST,15TH ST,"15TH ST & MISSION ST,San Fransisco, CA, USA",-122.41982,37.76667
