,Street,City,PO,Country,lon,lat
0,98 Edinburgh St, San Francisco,94112,USA,-122.427311,37.727605
1,237 Accacia St, Daly City,94014,USA,-122.4159151907583,37.70439096918921
2,1835 Folsom St, San Francisco,94103,USA,-122.41545424489796,37.76795024489796
3,170 Cambridge St, San Francisco,94134,USA,-122.41967619297637,37.7296632
4,16 Roanoke St, San Francisco,94131,USA,-122.43127664583334,37.7364215625
5,222 Whittier St, Daly City,94014,USA,-122.44692051020408,37.707464877551025
6,13 Hyde St, San Francisco,94102,USA,-122.415254,37.779898
7,2919 Geneva Ave, Daly City,94014,USA,-122.41379540419314,37.70663717630994
8,100 Larkin St, San Francisco,94102,USA,-122.41578535077579,37.779196850000005
9,230 Murray St, San Francisco,94112,USA,-122.42315553895536,37.733565227229334
10,45 Sanchez St, San Francisco,94114,USA,-122.43117779591837,37.768539510204086
11,2300 16th St, San Francisco,94103,USA,-122.40947083817584,37.7657494997075
12,838 Schwerin St, Daly City,94014,USA,-122.41446457492705,37.70383577228093
13,2111 Revere Ave, San Francisco,94124,USA,-122.40031944444445,37.73732561111111
14,435 Vienna St, San Francisco,94112,USA,-122.42947655810406,37.7213708
15,80 Risel Ave, Daly City,94014,USA,-122.45056943334058,37.70599599508202
16,928 Persia Ave, San Francisco,94112,USA,-122.42848260929257,37.71938175
17,2711 Scott St, San Francisco,94123,USA,-122.44018721739131,37.79478210869566
18,801 Lisbon St, San Francisco,94112,USA,-122.43774011963694,37.716119649999996
19,201 Schwerin St, San Francisco,94134,USA,-122.41128039568281,37.7103853
20,645 Harrison St, San Francisco,94107,USA,-122.395938,37.7835223
21,1560 Folsom St, San Francisco,94103,USA,-122.41476179166668,37.77128941666667
22,98 Lisbon St, San Francisco,94112,USA,-122.430089,37.726811
23,160 Charter Oak Ave, San Francisco,94124,USA,-122.40467489795918,37.73462518367347
24,53 Everson St, San Francisco,94131,USA,-122.43050310524086,37.73839670644726
25,869 Schwerin St, Daly City,94014,USA,-122.41454052166263,37.703167883578246
26,3380 Mission St, San Francisco,94110,USA,-122.3944962,37.7922307
27,2435 Union St, San Francisco,94123,USA,-122.43924099449069,37.796395700000005
28,43 Ervine St, San Francisco,94134,USA,-122.408538073196,37.71697745
29,555 9th St, San Francisco,94103,USA,-122.4077368,37.7709988
30,1169 Geneva Ave, San Francisco,94112,USA,-122.43674989065609,37.714320125429595
31,16 Navajo Ave, San Francisco,94112,USA,-122.44322491831531,37.719730999999996
32,3178 17th St, San Francisco,94110,USA,-122.41702195918369,37.76367218367347
33,125 Lisbon St, San Francisco,94112,USA,-122.43007714491019,37.7262065
34,55 Curtis St, San Francisco,94112,USA,-122.43956549956489,37.7139484
35,2697 Union St, San Francisco,94123,USA,-122.44347192077566,37.79594885
36,669 Silver Ave, San Francisco,94134,USA,-122.42223430488085,37.728995
